artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
John Dahlbäck,Raven,dutch house,0.569,0.896,1,-3.114,1,0.0489,0.00338,0.958,0.0633,0.118,128.083,190155,4
Croatia Squad,We Don't Need No Sleep,house,0.818,0.9,1,-3.914,1,0.152,0.159,7.56e-05,0.955,0.939,122.0,189898,4
"Matstubs, Chain$aw Huey",Go Nuts!,bass trap,0.591,0.914,8,-3.039,1,0.0583,0.0887,0.000444,0.341,0.183,139.879,185971,4
Alexander Lewis,March,bass trap,0.345,0.923,1,-3.268,1,0.0828,0.0393,0.0137,0.893,0.227,146.001,227671,4
Inpetto,Needin' U So - Radio Edit,electro house,0.521,0.978,7,-3.626,0,0.0927,0.00297,2.68e-06,0.904,0.374,125.114,191131,4
"Lady Bee, Dame1",Soon Not Later,bass trap,0.783,0.852,1,-4.774,1,0.0493,0.0498,0.00206,0.111,0.559,126.012,158095,4
"Lady Bee, Rachel Kramer",Drop It Down Like - Radio Edit,bass trap,0.667,0.891,1,-2.937,0,0.0928,0.171,0.000603,0.415,0.456,139.972,209571,4
"shymczyk, DEL8",fight club,,0.648,0.546,1,-8.852,0,0.448,0.338,0.0,0.109,0.609,81.527,145985,4
shymczyk,bumblebee,,0.598,0.872,5,-4.868,0,0.099,0.399,0.0,0.368,0.343,158.806,163019,4
shymczyk,zajawki,,0.605,0.962,4,-1.91,0,0.146,0.115,4.38e-06,0.117,0.314,190.977,176842,4
"Aleshen, learnhowtohustle, Lister, BAHsick, chmuura",WIDZI MI SIĘ,polish hip hop,0.694,0.518,8,-7.921,0,0.319,0.122,0.0,0.0457,0.94,134.757,150329,4
Waima,Sam,polish hip hop,0.697,0.748,4,-7.382,0,0.0782,0.551,0.0,0.111,0.497,171.067,168845,4
"Jetta, Matstubs",Take It Easy - Matstubs Remix,metropopolis,0.561,0.515,0,-5.702,1,0.0305,0.0347,0.00035,0.0677,0.0725,75.028,219280,4
Post Malone,Better Now,dfw rap,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,4
"CBW, Waima, Kaptur",SUPER SAIYANIN,,0.617,0.747,0,-8.316,1,0.051,0.185,0.0,0.295,0.441,157.83,166700,4
Donguralesko,451° Farenheita prod. Lanek,polish hip hop,0.624,0.89,6,-4.793,0,0.371,0.287,0.0,0.106,0.506,78.232,254293,4
"Donguralesko, The Returners",Raskolnikov prod. The Returners,polish hip hop,0.692,0.614,1,-6.403,1,0.321,0.29,0.0,0.395,0.306,90.028,244107,4
"Wac Toja, Fresh N Dope",Dope,polish hip hop,0.593,0.851,4,-4.226,1,0.302,0.0846,0.0,0.133,0.511,150.424,172172,4
Kaespen,BYLE JAK NAJDALEJ,polish alternative rap,0.61,0.342,9,-12.466,1,0.708,0.236,4.58e-06,0.123,0.124,173.962,188586,4
